ConfYear,ConfLocation,ConfDivision,ChoirTitle,ChoirType,CondFName1,CondMName1,CondLName1,CondFName2,CondMName2,CondLName2,School/Org,City1,State/Provience,Country,ChDivision,CondGender1,CondGender2,ChDistance,HBCU,GALA
1962,"Chicago, IL",MW,Englewood High School A Cappella Choir,High School,Irving,,Bunton,,,,Englewood High School,Chicago,IL,U.S.,C,m,,0,,
1962,"Chicago, IL",MW,Carter H. Harrison Technical High School Treble Choir,High School,Kent,,Newbury,,,,Carter H. Harrison Technical High School,Chicago,IL,U.S.,C,m,,0,,
1962,"Chicago, IL",MW,Homewood-Flossmoor High School Viking Choir,High School,Walter,,Rodby,,,,Homewood-Flossmoor High School,Flossmoor,IL,U.S.,C,m,,27,,
1962,"Chicago, IL",MW,Wayne State University Men's Glee Club,College,Harry,,Langsford,,,,Wayne State University,Detroit,MI,U.S.,C,m,,283,,
1964,"Philadelphia, PA",E,Baltimore City College Glee Club,College,Sidney,,Wechsler,,,,Baltimore City College,Baltimore,MD,U.S.,E,f,,99,,
1964,"Philadelphia, PA",E,Concert Choir of North Dakota State Univeristy,College,Robert,,Godwin,,,,North Dakota State University,Fargo,ND,U.S.,NC,m,,1400,,
1964,"Philadelphia, PA",E,Cranford High School Girls' Chorus,High School,James,,Lenny,,,,Cranford High School,Cranford,NJ,U.S.,E,m,,76,,
1964,"Philadelphia, PA",E,St. Kilian Boychoir,Children/Elementary,Arpad,,Darazs,,,,St. Kilian Catholic Church,Farmingdale,NY,U.S.,E,m,,131,,
1964,"Philadelphia, PA",E,Manhattan Chorus,Community,Hugh,,Ross,,,,,New York,NY,U.S.,E,m,,97,,
1964,"Philadelphia, PA",E,Temple University Brass Ensemble,College,Larry,,Weed,,,,Temple University,Philadelphia,PA,U.S.,E,m,,0,,
1964,"Philadelphia, PA",E,Singing City Choir,Community,Elaine,,Brown,,,,,Philadelphia,PA,U.S.,E,f,,0,,
1964,"Philadelphia, PA",E,Germantown Friends School Choir,High School,Mary,,Brewer,,,,Germantown Friends School,Philadelphia,PA,U.S.,E,f,,0,,
1964,"Philadelphia, PA",E,Madrigal Singers,College,Morris,,Beachy,,,,University of Texas,Austin,TX,U.S.,SW,m,,1659,,
1966,"Kansas City, MO",SW,Arkansas State College Choir,College,Alfred,,Skoog,,,,Arkansas State University,Jonesboro,AR,U.S.,SW,m,,383,,
1966,"Kansas City, MO",SW,El Camino College Chamber Choir,College,Jane,,Hardester,,,,El Camino College,El Camino,CA,U.S.,W,f,,1591,,
1966,"Kansas City, MO",SW,University of Colorado Madrigal Singers,College,Charles,,Byers,,,,University of Colorado,Boulder,CO,U.S.,SW,m,,623,,
1966,"Kansas City, MO",SW,Luther College Nordic Choir,College,Weston,,Noble,,,,Luther College,Decorah,IA,U.S.,NC,m,,401,,
1966,"Kansas City, MO",SW,Ottuma High School Choir,High School,John,,Trautwein,,,,Ottuma High School,Ottuma,IA,U.S.,NC,m,,175,,
1966,"Kansas City, MO",SW,University of Illinois Experimental Music Ensemble,College,Kenneth,,Gaburo,,,,University of Illinois,Urbana-Champaign,IL,U.S.,C,m,,397,,
1966,"Kansas City, MO",SW,Chicago Symphony Chorus,Community,Margaret,,Hillis,,,,,Chicago,IL,U.S.,C,f,,510,,
1966,"Kansas City, MO",SW,DePauw University Concert Choir,College,Joseph,,Flummerfelt,,,,DePauw University,Greencastle,IN,U.S.,C,m,,451,,
1966,"Kansas City, MO",SW,Kansas State University Men's Glee Club,College,Morris,,Hayes,,,,Kansas State University,Manhattan,KS,U.S.,SW,m,,122,,
1966,"Kansas City, MO",SW,Wichita State University Concert Choir,College,Robert,,Hines,,,,Wichita State University,Wichita,KS,U.S.,SW,m,,196,,
1966,"Kansas City, MO",SW,Notre Dame de Sion High School Girls' Ensemble,High School,Collette,,Dennihan,,,,Notre Dame de Sion High School,Kansas City,MO,U.S.,SW,f,,0,,
1966,"Kansas City, MO",SW,University of Oklahoma Concert Choir,College,Russell,,Mathis,,,,University of Oklahoma,Norman,OK,U.S.,SW,m,,365,,
1966,"Kansas City, MO",SW,Pampa High School Choir,High School,Hugh,,Sanders,,,,Pampa High School,Pampa,TX,U.S.,SW,m,,505,,
1968,"Seattle, WA",NW,Modesto Junio College Singers,College,Carl,,Sitton,,,,Modesto Junior College,Modesto,CA,U.S.,W,m,,827,,
1968,"Seattle, WA",NW,Schubertians,College,Carl,,Zytowski,,,,University of California - Santa Barbara,Santa Barbara,CA,U.S.,W,m,,1113,,
1968,"Seattle, WA",NW,Chamber Singers,High School,Robert,,Hasty,,,,East Bakersfield High School,Bakersfield,CA,U.S.,W,m,,1030,,
1968,"Seattle, WA",NW,Eastern New Mexico University Choir,College,George,,Umberson,,,,Eastern New Mexico University,Portales,NM,U.S.,SW,m,,1666,,
1968,"Seattle, WA",NW,University of Washington Instrumental Ensemble,College,William,,Cole,,,,University of Washington,Seattle,WA,U.S.,NW,m,,0,,
1968,"Seattle, WA",NW,University Singers,College,Rodney,,Eichenberger,,,,University of Washington,Seattle,WA,U.S.,NW,m,,0,,
1968,"Seattle, WA",NW,Choir of the West,College,Maurice,,Skones,,,,Pacific Lutheran University,Tacoma,WA,U.S.,NW,m,,34,,
1968,"Seattle, WA",NW,Kelso High School Choir,High School,Howard,,Meharg,,,,Kelso High School,Kelso,WA,U.S.,NW,m,,126,,
1971,"Kansas City, MO",SW,Shrine of the Ages Concert Choir,College,Millard,,Kinney,,,,Northern Arizona University,Flagstaff,AZ,U.S.,W,m,,1130,,
1971,"Kansas City, MO",SW,Citrus Junior College Chamber Chorale,College,Ben,,Bollinger,,,,Citrus Junior College,Azuza,CA,U.S.,W,m,,1596,,
1971,"Kansas City, MO",SW,California State College A Cappella Choir,College,Frank,,Pooler,,,,California State College,Long Beach,CA,U.S.,W,m,,1629,,
1971,"Kansas City, MO",SW,Corona del Mar High School Madrigal Singers,High School,Donald,,Haneke,,,,Corona del Mar High School,Newport Beach,CA,U.S.,W,m,,1624,,
1971,"Kansas City, MO",SW,Indiana University Chamber Singers,College,Don,,Moses,,,,Indiana University,Bloomington,IN,U.S.,C,m,,465,,
1971,"Kansas City, MO",SW,Kansas State University Concert Choir,College,Rod,,Walker,,,,Kansas State University,Manhattan,KS,U.S.,SW,m,,122,,
1971,"Kansas City, MO",SW,Kansas City Civic Symphony,Community,Jay,,Decker,,,,,Kansas City,MO,U.S.,SW,m,,0,,
1971,"Kansas City, MO",SW,East Carolina University Men's Glee Club,College,Brett,,Watson,,,,East Carolina University,Greenville,NC,U.S.,S,m,,1153,,
1971,"Kansas City, MO",SW,Mars Hill College Choir,College,Robert,,"Rich, Jr.",,,,Mars Hill College,Mars Hill,NC,U.S.,S,m,,828,,
1971,"Kansas City, MO",SW,New Jersey Boys Chorus,Children/Elementary,James,,McCarthy,,,,,Newark,NJ,U.S.,E,m,,1207,,
1971,"Kansas City, MO",SW,Ohio State University Chorale,College,Maurice,,Casey,,,,Ohio State University,Columbus,OH,U.S.,C,m,,658,,
1971,"Kansas City, MO",SW,Sapulpa High School Advanced Mixed Chorus,High School,Ve Don,,Law,,,,Sapulpa High School,Salpulpa,OK,U.S.,SW,m,,284,,
1971,"Kansas City, MO",SW,Furman University Concert Choir,College,Milburn,,Price,,,,Furman University,Greenville,SC,U.S.,S,m,,900,,
1971,"Kansas City, MO",SW,Reagan High School Chorale,College,James,,Sheppard,,,,Reagan High School,Austin,TX,U.S.,SW,m,,734,,
1971,"Kansas City, MO",SW,Walla Walla High School Girls Vocal Ensemble,High School,Richard,,Clark,,,,Walla Walla High School,Walla Walla,WA,U.S.,NW,m,,1618,,
1971,"Kansas City, MO",SW,Pewaukee High School Chamber Choir,High School,Margaret,,Hawkins,,,,Pewaukee High School,Pewaukee,WI,U.S.,NC,f,,556,,
1971,"Kansas City, MO",SW,Washington Junior High School Choir,Middle School,Kim,,Deal,,,,Washington Junior High School,Kenosha,WI,U.S.,NC,f,,561,,
1971,"Kansas City, MO",SW,Directors Chorus,Community,Rodney,,Eichenberger,,,,,,,U.S.,SW,m,,,,
1973,"Kansas City, MO",SW,Indian Springs Male Glee Club,High School,John,,Jennings,,,,Indian Springs High School,Helena,AL,U.S.,S,m,,704,,
1973,"Kansas City, MO",SW,Arizona State University Concert Choir,College,Douglas,,McEwen,,,,Arizona State University,Tempe,AZ,U.S.,W,m,,1218,,
1973,"Kansas City, MO",SW,Pasadena City College Chamber Choir,College,William,,Hatcher,,,,Pasadena City College,Pasadena,CA,U.S.,W,m,,1609,,
1973,"Kansas City, MO",SW,University of Southern California Chamber Singers,College,Charles,,Hirt,,,,University of Southern California,Pasadena,CA,U.S.,W,m,,1609,,
1973,"Kansas City, MO",SW,Monmouth College Sound of Five,College,Richard,,Griffiths,,,,Monmouth College,Monmouth,IL,U.S.,C,m,,323,,
1973,"Kansas City, MO",SW,Naperville Central High School Double Madrigal Chorale,High School,John,,Pearce,,,,Naperville Central High School,Naperville,IL,U.S.,C,m,,498,,
1973,"Kansas City, MO",SW,The Chicago Black Choir,Community,Lina,,McLinn,,,,,Chicago,IL,U.S.,C,f,,510,,
1973,"Kansas City, MO",SW,Shawnee Mission South Choir,High School,Don,,Donaldson,,,,Shawnee Mission South High School,Lawrence,KS,U.S.,SW,m,,41,,
1973,"Kansas City, MO",SW,Missouri Music Men,Church,Bob,,Woolley,,,,Missouri Baptist Convention,,MO,U.S.,SW,m,,,,
1973,"Kansas City, MO",SW,Wyandotte and Washington High School Boys,High School,Greg,,Lyne,,,,,Kansas City,MO,U.S.,SW,m,,,,
1973,"Kansas City, MO",SW,University of North Carolina at Greensboro Women's Choir,College,Richard,,Cox,,,,University of North Carolina at Greensboro,Greensboro,NC,U.S.,S,m,,995,,
1973,"Kansas City, MO",SW,University of North Carolina at Chapel Hill Mens Glee Club,College,Robert,,Porco,,,,University of North Carolina at Chapel Hill,Chapel Hill,NC,U.S.,S,m,,1045,,
1973,"Kansas City, MO",SW,North Dakota State University Concert Choir,College,Edwin,,Fissinger,,,,North Dakota State University,Fargo,ND,U.S.,NC,m,,601,,
1973,"Kansas City, MO",SW,Lincoln East High School East Singers,High School,Jon,,Peterson,,,,Lincoln East High School,Lincoln,NE,U.S.,NC,m,,195,,
1973,"Kansas City, MO",SW,C.W. Post College Chamber Singers,College,Alexander,,Dashnaw,,,,C.W. Post College,Greenvale,NY,U.S.,E,m,,1241,,
1973,"Kansas City, MO",SW,University of Western Ontario Faculty of Music Sinfonia,International,Deral,,Johnson,,,,University of Western Ontario,London,Ontario,Canada,,m,,,,
1973,"Kansas City, MO",SW,Big Spring High School Meistersingers,High School,Jack,,Bowers,,,,Big Spring High School,Big Spring,TX,U.S.,SW,m,,723,,
1973,"Kansas City, MO",SW,Directors Chorus,Honor,Robert,,Shaw,,,,,,,U.S.,,m,,,,
1973,"Kansas City, MO",SW,Budapest University Choir,International,Laszlo,,Negradi,,,,Budapest University,Budapest,,Hungary,,m,,,,
1975,"St. Louis, MO",SW,Riverside City College Chamber Singers,College,John,,Ross,,,,Riverside City College,Riverside,CA,U.S.,W,m,,1794,,
1975,"St. Louis, MO",SW,"Esbambians, the",High School,Phyllis,,Merritt,,,,Escambia High School,Pensacola,FL,U.S.,SW,f,,752,,
1975,"St. Louis, MO",SW,Glen Ellyn Children's Choir,Children/Elementary,Doreen,,Rao,,,,,Glen Ellyn,IL,U.S.,C,f,,288,,
1975,"St. Louis, MO",SW,Thorton Community College Evening Chorale,College,J. Albert,,Kinkig,,,,Thorton Community College,South Holland,IL,U.S.,C,m,,289,,
1975,"St. Louis, MO",SW,University of Illinois Men's Glee Club,College,William,,Olson,,,,University of Illinois,Urbana-Champaign,IL,U.S.,C,m,,179,,
1975,"St. Louis, MO",SW,Eastern Illinois University Concert Choir,College,Robert,,Snyder,,,,Eastern Illinois University,Charleston,IL,U.S.,S,m,,142,,
1975,"St. Louis, MO",SW,Handel and Haydn Socity,Community,Thomas,,Dunn,,,,,Boston,MA,U.S.,E,m,,1418,,
1975,"St. Louis, MO",SW,Morgan State College Choir,College,Nathan,,Carter,,,,Morgan State College,Baltimore,MD,U.S.,E,m,,817,Y,
1975,"St. Louis, MO",SW,Ars Nova Coral da UFMG,International,Carlos,,Fonseca,,,,,Belo Horizonte,Minas Gerals,Brazil,,m,,,,
1975,"St. Louis, MO",SW,Raytown Boy Choir,Children/Elementary,Michael,,Farrell,,,,Raytown Elementary Schools,Raytown,MO,U.S.,SW,m,,241,,
1975,"St. Louis, MO",SW,University of Missouri - Kansas City Conservatory Chorale,College,Eph,,Ehly,,,,University of Missouri - Kansas City,Kansas City,MO,U.S.,SW,m,,247,,
1975,"St. Louis, MO",SW,First Baptist Church Choir,Community,Robert,,Woods,,,,,Ferguson,MO,U.S.,SW,m,,240,,
1975,"St. Louis, MO",SW,Missouri All-State Choir,High School,Paul,,Salamunavich,,,,Missouri MEA,,MO,U.S.,SW,m,,,,
1975,"St. Louis, MO",SW,Westminster Choir,College,Joseph,,Flummerfelt,,,,Westminster College,Princeton,NJ,U.S.,E,m,,919,,
1975,"St. Louis, MO",SW,The College Singers,College,Guy,,Webb,,,,SUNY at Cortland,Cortland,NY,U.S.,E,m,,902,,
1975,"St. Louis, MO",SW,John F. Kennedy High School Choir,High School,Ronald,,Cohen,,,,John F. Kennedy High School,Plainview,NY,U.S.,E,m,,1012,,
1975,"St. Louis, MO",SW,Horseheads High School Chamber Singers,High School,Joseph,,Crupi,,,,Horseheads High School,Horseheads,NY,U.S.,E,m,,857,,
1975,"St. Louis, MO",SW,Mt. Union College Master Chorale,College,Bruce,,Browne,,,,Mt. Union College,Alliance,OH,U.S.,C,m,,803,,
1975,"St. Louis, MO",SW,University of Texas at Austin Choral Union,College,Morris,,Beachy,,,,University of Texas at Austin,Austin,TX,U.S.,SW,m,,824,,
1975,"St. Louis, MO",SW,Conroe Senior High School Concert Chorale,High School,John,,King,,,,Conroe Senior High School,Conroe,TX,U.S.,SW,m,,813,,
1975,"St. Louis, MO",SW,Theodore Roosevelt Girls Choir,High School,Mary Ann,,Winden,,,,Theodore Roosevelt High School,San Antonio,TX,U.S.,SW,f,,903,,
1975,"St. Louis, MO",SW,Lincoln Junior High School Boys Choir,Middle School,Ronald,,Harden,,,,Lincoln Junior High School,Abilene,TX,U.S.,SW,m,,777,,
1975,"St. Louis, MO",SW,Wisconsin College - Conservatory Chamber Singers,College,Margaret,,Hawkins,,,,Wisconsin College - Conservatory,Milwaukee,WI,U.S.,NC,f,,384,,
1975,"St. Louis, MO",SW,Ciprian Porcumbescu Conservatory Choir,International,Gheorghe,,Oprea,,,,Ciprian Porcumbrescu Conservatory,Bucharest,,Romania,,m,,,,
1977,"Dallas, TX",SW,Palo Verde High School Jubileers,High School,Thomas,,Patrick,,,,Palo Verde High School,Tucson,AZ,U.S.,W,m,,955,,
1977,"Dallas, TX",SW,California State University at Long Beach University Choir,College,Frank,,Pooler,,,,California State University at Long Beach,Long Beach,CA,U.S.,W,m,,1447,,
1977,"Dallas, TX",SW,California State University at Fullerton University Singers,College,David,,Thorsen,,,,California State University at Fullerton,Fullerton,CA,U.S.,W,m,,1426,,
1977,"Dallas, TX",SW,John Adams Junior High School Madrigal Singers,Middle School,Linda,,Anderson,,,,John Adams Junior High School,Santa Monica,CA,U.S.,W,f,,1454,,
1977,"Dallas, TX",SW,Swainsboro Elementary Chorus,Children/Elementary,Charles,,Doster,,,,Swainsboro Elementary School,Swainsboro,GA,U.S.,SW,m,,956,,
1977,"Dallas, TX",SW,University of Illinois University Chorale,College,Harold,,Decker,,,,University of Illinois,Urbana-Champaign,IL,U.S.,C,m,,832,,
1977,"Dallas, TX",SW,North Dakota State University Concert Choir,College,Edwin,,Fissinger,,,,North Dakota State University,Fargo,ND,U.S.,NC,m,,1080,,
1977,"Dallas, TX",SW,Cincinnati's University Singers,College,Earl,,Rivers,,,,University of Cincinnati,Cincinnati,OH,U.S.,C,m,,932,,
1977,"Dallas, TX",SW,University of Oklahoma Orchestra,College,Legh,,Burns,,,,University of Oklahoma,Norman,OK,U.S.,SW,m,,192,,
1977,"Dallas, TX",SW,Singing City Choir,Community,Elaine,,Brown,,,,,Philadelphia,PA,U.S.,E,f,,1461,,
1977,"Dallas, TX",SW,Warren Travis High School A Cappella Choir,College,Tom,,Council,,,,Warren Travis High School,Dallas,TX,U.S.,SW,m,,0,,
1977,"Dallas, TX",SW,University of Texas at San Antonio Chamber Chorale,College,Gordon,,Lamb,,,,University of Texas at San Antonio,San Antonio,TX,U.S.,SW,m,,277,,
1977,"Dallas, TX",SW,Southwestern Baptist Theological Seminary Men's,College,James,,McKinney,,,,Southwestern Baptist Theological Seminary,Fort Worth,TX,U.S.,SW,m,,38,,
1977,"Dallas, TX",SW,Southern Methodist University Choir,College,Lloyd,,Pfautsch,,,,Southern Methodist University,Dallas,TX,U.S.,SW,m,,0,,
1977,"Dallas, TX",SW,Sanctuary Choir and Orchestra,Community,Gary,,Moore,,,,First Baptist church,Dallas,TX,U.S.,SW,m,,0,,
1977,"Dallas, TX",SW,Tremper High School A Cappella Choir,High School,Kurt,,Chalgren,,,,Tremper High School,Kenosha,WI,U.S.,NC,m,,991,,
1977,"Dallas, TX",SW,Evelyn White Chorale,Community,Evelyn,,White,,,,,"Washington, D.C.",,U.S.,E,f,,1326,,
1977,"Dallas, TX",SW,US Army Men's Chorus,Community,Allen,,Crowell,,,,US Army,"Washington, D.C.",,U.S.,E,m,,1326,,
1977,"Dallas, TX",SW,Conductors Chorus,Honor,Helmuth,,Rilling,,,,,,,U.S.,,m,,,,
1979,"Kansas City, MO",SW,Anchorage Community Choirs,Community,Dewey,,Ehling,,,,,Anchorage,AK,U.S.,NW,m,,3509,,
1979,"Kansas City, MO",SW,Birmingham Southern College Concert Choir,College,Hugh,,Thomas,,,,Birmingham Southern College,Birmingham,AL,U.S.,S,m,,687,,
1979,"Kansas City, MO",SW,California State University Northridge Singers,College,John,,Alexander,,,,California State University at Northridge,Northridge,CA,U.S.,W,m,,1636,,
1979,"Kansas City, MO",SW,El Camino College Choir,College,Jane,,Hardester,,,,El Camino College,El Camino,CA,U.S.,W,f,,1591,,
1979,"Kansas City, MO",SW,Pasadena City College Choir,College,William,,Hatcher,,,,Pasadena City College,Pasadena,CA,U.S.,W,m,,1609,,
1979,"Kansas City, MO",SW,Orange Coast College Choir,College,Richard,,Raub,,,,Orange Coast College,Costa Mesa,CA,U.S.,W,m,,1622,,
1979,"Kansas City, MO",SW,University of Miami Chamber Singers,College,Lee,,Kjelson,,,,University of Miami,Miami,FL,U.S.,S,m,,1463,,
1979,"Kansas City, MO",SW,Schola Cantorum,Church,Stephen,,Rosolack,,,,Diocese of Peoria,Peoria,IL,U.S.,C,m,,352,,
1979,"Kansas City, MO",SW,Kansas State University,College,Rod,,Walker,,,,Kansas State University,Manhattan,KS,U.S.,SW,m,,122,,
1979,"Kansas City, MO",SW,S.E of Saline High School Concert Choir,High School,Bill,,Tuzika,,,,S.E. of Saline High School,Gypsum,KS,U.S.,SW,m,,181,,
1979,"Kansas City, MO",SW,Northern Michigan University Arts Chorale,College,Douglas,,Amman,,,,Northern Michigan University,Marquette,MI,U.S.,C,m,,810,,
1979,"Kansas City, MO",SW,College of St. Scholastica Abbey Minstrels,College,Shelley,,Gruskin,,,,College of St. Scholastica,Duluth,MN,U.S.,NC,f,,587,,
1979,"Kansas City, MO",SW,Brainerd High School A Cappella Choir,High School,Thomas,,Rossin,,,,Brainerd High School,Brainerd,MN,U.S.,NC,m,,562,,
1979,"Kansas City, MO",SW,University of Missouri at Kansas City,College,Eph,,Ehly,,,,University of Missouri at Kansas City,Kansas City,MO,U.S.,SW,m,,0,,
1979,"Kansas City, MO",SW,William Jewell College,College,Wesley,,Forbis,,,,William Jewell College,Liberty,MO,U.S.,SW,m,,16,,
1979,"Kansas City, MO",SW,Kansas City Philharmonic Orchestra,Community,Roger,,Wagner,,,,Kansas City Philharmonic,Kansas City,MO,U.S.,SW,m,,0,,
1979,"Kansas City, MO",SW,Missouri All-State Chorus,High School,Weston,,Noble,,,,Missouri MEA,,MO,U.S.,SW,m,,,,
1979,"Kansas City, MO",SW,University of Nebraska Varsity Glee Club,College,Raymond,,Miller,,,,University of Nebraska at Lincoln,Lincoln,NE,U.S.,NC,m,,195,,
1979,"Kansas City, MO",SW,Geneseo Chamber Singers,College,Robert,,Isgro,,,,SUNY at Geneseo,Geneseo,NY,U.S.,E,m,,1034,,
1979,"Kansas City, MO",SW,Temple University Concert Choir,College,Elaine,,Brown,,,,Temple University,Philadelphia,PA,U.S.,E,f,,1126,,
1979,"Kansas City, MO",SW,Centurymen,Church,Buryl,,Red,,,,Southern Baptist Convention,Nashville,TN,U.S.,S,m,,556,,
1979,"Kansas City, MO",SW,West Texas State University Chorale,College,Hugh,,Sanders,,,,West Texas State University,Canyon,TX,U.S.,SW,m,,623,,
1979,"Kansas City, MO",SW,Roosevelt High School Chorale,High School,May,,Winden,,,,Roosevelt High School,San Antonio,TX,U.S.,SW,f,,812,,
1979,"Kansas City, MO",SW,Lawrence University Concert Choir,College,Karle,,Erickson,,,,Lawrence University,Appleton,WI,U.S.,NC,m,,594,,
1979,"Kansas City, MO",SW,Chorus of the Sullivan Chamber Singers,Community,Charles,,Sullivan,,,,Sullivan Chamber Ensemble,Milwaukee,WI,U.S.,NC,m,,567,,
1981,"New Orleans, LA",S,Oakland Youth Chorus Chamber Ensemble,Children/Elementary,Steven,,Brunsvold,,,,,Oakland,CA,U.S.,W,m,,2262,,
1981,"New Orleans, LA",S,St. Basil's Church Choir,Church,Paul,,Salamunavich,,,,St. Basil's Church,Los Angeles,CA,U.S.,W,m,,1985,,
1981,"New Orleans, LA",S,St. Charles Borromeo Choir,Church,Paul,,Salamunavich,,,,St. Charles Borromeo Church,North Hollywood,CA,U.S.,W,m,,1906,,
1981,"New Orleans, LA",S,University of Southern Califormia Concert Choir,College,James,,Vail,,,,University of Southern California,Los Angeles,CA,U.S.,W,m,,1895,,
1981,"New Orleans, LA",S,Irvine Master Chorale,Community,John,,Alexander,,,,Performing Arts Association of Orange County,Newport Beach,CA,U.S.,W,m,,1889,,
1981,"New Orleans, LA",S,Albert McNeil Jubilee Singers,Community,Albert,,McNeil,,,,Northwestern University,Los Angeles,CA,U.S.,W,m,,1895,,
1981,"New Orleans, LA",S,Thorton High School Highlites,High School,Ray,,Sheehan,,,,Thorton High School,Thorton,CO,U.S.,SW,m,,1325,,
1981,"New Orleans, LA",S,Miami Boychoir,Children/Elementary,Paul,,Eisenhart,,,,,Miami,FL,U.S.,S,m,,861,,
1981,"New Orleans, LA",S,Florida State University,College,Clayton,,Krehbiel,,,,Florida State University,Tallahassee,FL,U.S.,S,m,,383,,
1981,"New Orleans, LA",S,Callanwolde Young Singers,Community,Stephen,,Ortlip,,,,,Atlanta,GA,U.S.,S,m,,468,,
1981,"New Orleans, LA",S,Atlanta Symphony Orchestra,Community,Robert,,Shaw,,,,,Atlanta,GA,U.S.,S,m,,468,,
1981,"New Orleans, LA",S,University of Georgia Men's Glee Club,College,Pierce,,"Arant, Jr.",,,,University of Georgia,Athens,GA,U.S.,S,M,,539,,
1981,"New Orleans, LA",S,Gospel Soul Children,Children/Elementary,Albert,,Hadley,,,,,New Orleans,LA,U.S.,S,m,,0,,
1981,"New Orleans, LA",S,St. Martin's Episcopal Church Choir,Church,Lorraine,,Alfaro,,,,St. Martin's Episcopal Church,Metairie,LA,U.S.,S,f,,7,,
1981,"New Orleans, LA",S,Loyola University,College,Larry,,Wyatt,,,,Loyola University,New Orleans,LA,U.S.,S,m,,0,,
1981,"New Orleans, LA",S,Harvard Glee Club,College,Jameson,,Marvin,,,,Harvard University,Cambridge,MA,U.S.,E,m,,1514,,
1981,"New Orleans, LA",S,Cathedral Chuch of St. Mark Episcopal Gregorian Singers,Church,Monte,,Mason,,,,Cathedral Church of St. Mark Episcopal,Minneapolis,MN,U.S.,NC,m,,1222,,
1981,"New Orleans, LA",S,Ridgewood Jr. High School Concert Choir,Middle School,Kathleen,,Egbert,,,,Ridgewood Junior High School,Arnold,MO,U.S.,SW,f,,661,,
1981,"New Orleans, LA",S,Princeton High School Choir,High School,William,,Trego,,,,Princeton High School,Princeton,NJ,U.S.,E,m,,1264,,
1981,"New Orleans, LA",S,Ohio State University,College,Maurice,,Casey,,,,Ohio State University,Columbus,OH,U.S.,C,m,,909,,
1981,"New Orleans, LA",S,University of Cincinnati University Singers,College,Earl,,Rivers,,,,University of Cincinnati - Convervatory of Music,Cincinnati,OH,U.S.,C,m,,802,,
1981,"New Orleans, LA",S,University of Oklahoma Trombone Choir,College,Irvin,,Wagner,,,,University of Oklahoma,Norman,OK,U.S.,SW,m,,708,,
1981,"New Orleans, LA",S,Talbot College Faculty of Music Singers,International,Deral,,Johnson,,,,Talbot College,London,Ontario,Canada,,m,,,,
1981,"New Orleans, LA",S,Crescent Valley High School Men's Chorus,High School,Gordon,,Tjernlund,,,,Crescent Valley High School,Corvalis,OR,U.S.,NW,m,,2724,,
1981,"New Orleans, LA",S,Columbia College Choir,College,Guthrie,,Darr,,,,Columbia College,Columbia,SC,U.S.,S,f,,677,,
1981,"New Orleans, LA",S,Singing Boys of Houston,Children/Elementary,Gary,,Patterson,,,,,Houston,TX,U.S.,SW,m,,349,,
